M7V54_RS00005	Rv0001	100.000	100	1524	0.0	2815
M7V54_RS00010	Rv0002	100.000	100	1209	0.0	2233
M7V54_RS00015	Rv0003	100.000	100	1158	0.0	2139
M7V54_RS00020	Rv0004	100.000	100	564	0.0	1042
M7V54_RS00025	Rv0005	100.000	100	2028	0.0	3746
M7V54_RS00030	Rv0006	100.000	100	2517	0.0	4649
M7V54_RS00035	Rv0007	100.000	100	915	0.0	1690
M7V54_RS00040	Rvnt01	100.000	100	74	7.25e-34	137
M7V54_RS00045	Rvnt02	100.000	100	73	2.56e-33	135
M7V54_RS00060	Rv0008c	100.000	100	438	0.0	809
M7V54_RS00065	Rv0009	100.000	100	549	0.0	1014
M7V54_RS00070	Rv0010c	100.000	100	426	0.0	787
M7V54_RS00075	Rv0011c	100.000	100	282	8.11e-149	521
M7V54_RS00080	Rv0012	99.866	100	744	0.0	1369
M7V54_RS00085	Rv0013	100.000	100	699	0.0	1291
M7V54_RS00090	Rv0014c	100.000	100	1881	0.0	3474
M7V54_RS00095	Rv0015c	100.000	100	1296	0.0	2394
M7V54_RS00100	Rv0016c	100.000	100	1476	0.0	2726
M7V54_RS00105	Rv0017c	100.000	100	1410	0.0	2604
M7V54_RS00110	Rv0018c	100.000	100	1536	0.0	2837
M7V54_RS00115	Rv0019c	100.000	100	468	0.0	865
M7V54_RS00120	Rv0020c	100.000	100	1584	0.0	2926
M7V54_RS00125	Rvnt03	100.000	100	83	8.37e-39	154
M7V54_RS00130	Rv0021c	100.000	100	969	0.0	1790
M7V54_RS00135	Rv0022c	100.000	100	420	0.0	776
M7V54_RS00140	Rv0023	100.000	100	771	0.0	1424
M7V54_RS00145	Rv0024	100.000	100	846	0.0	1563
M7V54_RS00150	Rv0025	100.000	100	363	0.0	671
M7V54_RS00155	Rv0026	100.000	94	1329	0.0	2455
M7V54_RS00160	Rv0027	100.000	100	318	8.97e-169	588
M7V54_RS00165	Rv0028	100.000	100	306	4.03e-162	566
M7V54_RS00175	Rv0029	100.000	100	1098	0.0	2028
M7V54_RS00180	Rv0030	100.000	100	330	1.99e-175	610
M7V54_RS00185	Rv0032	100.000	100	2316	0.0	4277
M7V54_RS00190	Rv0033	100.000	100	264	7.66e-139	488
M7V54_RS00195	Rv0034	100.000	100	396	0.0	732
M7V54_RS00200	Rv0035	100.000	100	1689	0.0	3120
M7V54_RS00205	Rv0036c	100.000	100	774	0.0	1430
M7V54_RS00210	Rv0037c	100.000	100	1326	0.0	2449
M7V54_RS00215	Rv0038	100.000	100	609	0.0	1125
M7V54_RS00220	Rv0039c	100.000	100	348	0.0	643
M7V54_RS00225	Rv0040c	100.000	100	933	0.0	1724
M7V54_RS00230	Rv0041	100.000	100	2910	0.0	5374
M7V54_RS00235	Rv0042c	100.000	100	504	0.0	931
M7V54_RS00240	Rv0043c	100.000	100	735	0.0	1358
M7V54_RS00245	Rv0044c	100.000	100	795	0.0	1469
M7V54_RS00250	Rv0045c	100.000	100	897	0.0	1657
M7V54_RS00255	Rv0046c	100.000	100	1104	0.0	2039
M7V54_RS00260	Rv0047c	100.000	100	543	0.0	1003
M7V54_RS00265	Rv0048c	100.000	100	870	0.0	1607
M7V54_RS00270	Rv0049	100.000	95	414	0.0	765
M7V54_RS00280	Rv0051	100.000	100	1683	0.0	3109
M7V54_RS00290	Rv0053	100.000	100	291	8.33e-154	538
M7V54_RS00295	Rv0054	100.000	100	495	0.0	915
M7V54_RS00300	Rv0055	100.000	100	255	7.43e-134	472
M7V54_RS00305	Rv0056	100.000	100	459	0.0	848
M7V54_RS00310	Rv0057	100.000	100	522	0.0	965
M7V54_RS00315	Rv0058	100.000	100	2625	0.0	4848
M7V54_RS00320	Rv0059	100.000	100	693	0.0	1280
M7V54_RS00325	Rv0060	100.000	100	1059	0.0	1956
M7V54_RS00330	Rv0061c	100.000	100	339	2.04e-180	627
M7V54_RS00335	Rv0062	100.000	100	1143	0.0	2111
M7V54_RS00340	Rv0063	100.000	100	1440	0.0	2660
M7V54_RS00345	Rv0063a	100.000	100	162	2.25e-82	300
M7V54_RS00350	Rv0064	99.966	100	2940	0.0	5424
M7V54_RS00355	Rv0064A	100.000	100	240	1.51e-125	444
M7V54_RS00360	Rv0065	100.000	100	402	0.0	743
M7V54_RS00365	Rv0066c	100.000	100	2238	0.0	4133
M7V54_RS00370	Rv0067c	100.000	100	570	0.0	1053
M7V54_RS00375	Rv0068	100.000	100	912	0.0	1685
M7V54_RS00380	Rv0069c	100.000	100	1386	0.0	2560
M7V54_RS00385	Rv0070c	100.000	100	1278	0.0	2361
M7V54_RS00390	Rv0071	100.000	100	708	0.0	1308
M7V54_RS00400	Rv0072	100.000	100	1050	0.0	1940
M7V54_RS00405	Rv0073	100.000	100	993	0.0	1834
M7V54_RS00405	Rv2564	82.294	99	994	0.0	850
M7V54_RS00410	Rv0074	100.000	100	1236	0.0	2283
M7V54_RS00415	Rv0075	100.000	100	1173	0.0	2167
M7V54_RS00420	Rv0076c	100.000	100	381	0.0	704
M7V54_RS00425	Rv0077c	100.000	100	831	0.0	1535
M7V54_RS00430	Rv0078	100.000	100	606	0.0	1120
M7V54_RS00435	Rv0078A	100.000	100	594	0.0	1098
M7V54_RS00440	Rv0078B	100.000	100	207	2.84e-107	383
M7V54_RS00445	Rv0079	100.000	100	822	0.0	1519
M7V54_RS00450	Rv0080	100.000	100	459	0.0	848
M7V54_RS00455	Rv0081	100.000	100	345	0.0	638
M7V54_RS00460	Rv0082	100.000	100	480	0.0	887
M7V54_RS00465	Rv0083	100.000	100	1923	0.0	3552
M7V54_RS00470	Rv0084	100.000	100	951	0.0	1757
M7V54_RS00475	Rv0085	100.000	100	663	0.0	1225
M7V54_RS00480	Rv0086	100.000	100	1467	0.0	2710
M7V54_RS00485	Rv0087	100.000	100	1479	0.0	2732
M7V54_RS00490	Rv0088	100.000	100	480	0.0	887
M7V54_RS00495	Rv0089	100.000	98	594	0.0	1098
M7V54_RS00500	Rv0090	100.000	100	771	0.0	1424
M7V54_RS00505	Rv0091	100.000	100	768	0.0	1419
M7V54_RS00510	Rv0092	100.000	100	2286	0.0	4222
M7V54_RS00515	Rv0093c	100.000	100	711	0.0	1314
M7V54_RS00525	Rv0096	100.000	100	1392	0.0	2571
M7V54_RS00530	Rv0097	100.000	100	870	0.0	1607
M7V54_RS00535	Rv0098	100.000	100	552	0.0	1020
M7V54_RS00540	Rv0099	100.000	100	1599	0.0	2953
M7V54_RS00545	Rv0100	100.000	100	237	6.95e-124	438
M7V54_RS00550	Rv0101	99.987	100	7539	0.0	13917
M7V54_RS00555	Rv0102	100.000	100	1986	0.0	3668
M7V54_RS00560	Rv0103c	100.000	100	2259	0.0	4172
M7V54_RS00565	Rv0104	100.000	100	1515	0.0	2798
M7V54_RS00575	Rv0105c	100.000	100	285	1.76e-150	527
M7V54_RS00580	Rv0106	100.000	100	1197	0.0	2211
M7V54_RS00585	Rv0107c	100.000	100	4877	0.0	9007
M7V54_RS00590	Rv0108c	100.000	90	210	7.00e-109	388
M7V54_RS00595	Rv0109	99.933	100	1491	0.0	2748
M7V54_RS00605	Rv0111	100.000	100	2058	0.0	3801
M7V54_RS00610	Rv0112	100.000	100	957	0.0	1768
M7V54_RS00615	Rv0113	100.000	100	591	0.0	1092
M7V54_RS00620	Rv0114	100.000	100	573	0.0	1059
M7V54_RS00625	Rv0115	100.000	100	1161	0.0	2145
M7V54_RS00630	Rv0115a	100.000	100	189	2.62e-97	350
M7V54_RS00635	Rv0116c	100.000	100	756	0.0	1397
M7V54_RS00640	Rv0117	100.000	100	945	0.0	1746
M7V54_RS00645	Rv0118c	100.000	100	1749	0.0	3230
M7V54_RS00650	Rv0119	100.000	100	1578	0.0	2915
M7V54_RS00655	Rv0120c	100.000	100	2145	0.0	3962
M7V54_RS00660	Rv0121c	100.000	100	435	0.0	804
M7V54_RS00665	Rv0122	100.000	100	369	0.0	682
M7V54_RS00670	Rv0123	100.000	100	369	0.0	682
M7V54_RS00675	Rv0124	100.000	100	1464	0.0	2704
M7V54_RS00680	Rv0125	100.000	100	1068	0.0	1973
M7V54_RS00685	Rv0126	100.000	100	1806	0.0	3336
M7V54_RS00690	Rv0127	100.000	100	1368	0.0	2527
M7V54_RS00695	Rv0128	100.000	100	780	0.0	1441
M7V54_RS00700	Rv0129c	100.000	100	1023	0.0	1890
M7V54_RS00705	Rv0130	100.000	100	456	0.0	843
M7V54_RS00710	Rv0131c	100.000	100	1344	0.0	2483
M7V54_RS00715	Rv0132c	100.000	100	1083	0.0	2001
M7V54_RS00720	Rv0133	100.000	100	606	0.0	1120
M7V54_RS00725	Rv0134	100.000	100	903	0.0	1668
M7V54_RS00730	Rv0135c	100.000	100	606	0.0	1120
M7V54_RS00735	Rv0136	100.000	100	1326	0.0	2449
M7V54_RS00740	Rv0137c	100.000	100	549	0.0	1014
M7V54_RS00745	Rv0138	100.000	100	504	0.0	931
M7V54_RS00750	Rv0139	100.000	100	1023	0.0	1890
M7V54_RS00755	Rv0140	100.000	100	381	0.0	704
M7V54_RS00760	Rv0141c	100.000	100	411	0.0	760
M7V54_RS00765	Rv0142	100.000	100	927	0.0	1712
M7V54_RS00770	Rv0143c	100.000	100	1479	0.0	2732
M7V54_RS00775	Rv0144	100.000	100	636	0.0	1175
M7V54_RS00780	Rv0145	100.000	100	954	0.0	1762
M7V54_RS00785	Rv0146	100.000	100	933	0.0	1724
M7V54_RS00790	Rv0147	100.000	100	1476	0.0	2726
